uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:nJHRjW2jT0awrChG3dRE4Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-04 15:17:48"") OR ([ds6w:modified]>""2024-05-16 13:32:30"")))","""Retrieve all posts, ideas, or questions in the community 'nJHRjW2jT0awrChG3dRE4Q' that are either 'wym:Post', 'wym:Idea', or 'wym:Question' or are 'wym:WikitreePage' with visibility 1, and were modified before '2024-03-04 15:17:48' or after '2024-05-16 13:32:30'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2402"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-11-30 19:59:23"") OR ([ds6w:modified]>""2024-05-17 15:38:01"")))","""Retrieve documents from the 'wym:215dsi0708:DSEXT001:community:2402' container that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility set to 1, and were modified before '2017-11-30 19:59:23' or after '2024-05-17 15:38:01'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2579"")",Retrieve documents with resourceUid matching 'wym:215dsi0708:DSEXT001:community:2579'.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:w7S4BWsjSEasVsuVd5afqA"")","""Retrieve documents with resourceUid equal to swym:215dsi0708:DSEXT001:community:w7S4BWsjSEasVsuVd5afqA."""
[ds6w:label]:(Cannot import 3DXML file*),"Search for documents with label containing ""Cannot import 3DXML file""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:E4vdEXV8TSaVgRRrb6zGzg"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:E4vdEXV8TSaVgRRrb6zGzg."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wCaDP15yQVS65BkHsLXUkA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-14 12:16:06"") OR ([ds6w:modified]>""2024-05-16 13:53:39"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:wCaDP15yQVS65BkHsLXUkA that are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and were created before 2021-04-14 12:16:06 or after 2024-05-16 13:53:39."""
"[ds6w:label]:(Passport proxy PGT error,*)","Search for documents with label ""Passport proxy PGT error,(*)."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:j4b346izSySoU-mNtCbe1g"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:j4b346izSySoU-mNtCbe1g""."
[ds6w:label]:(SAO T&M*),Search for documents with label starting with SAO T&M.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:kZRx1sq0QMGXlDH8UL3Rkg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-28 18:44:40"") OR ([ds6w:modified]>""2024-05-05 04:33:09"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:kZRx1sq0QMGXlDH8UL3Rkg that are posts, ideas, or questions, or are wiki pages with visibility 1, and have been modified before May 28, 2020 18:44:40 or after May 5, 2024 04:33:09."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1934"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-09-06 08:16:34"") OR ([ds6w:modified]>""2019-07-23 16:00:50"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:1934' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with wiki visibility set to 1, and modified between September 6, 2016, 8:16:34 AM and July 23, 2019, 4:00:50 PM."""
"[ds6w:resourceUid]:(""<uuid:e3f89a57-1bf2-4d41-8a5f-bc759df6c8f4>"")",Retrieve documents with resourceUid equal to e3f89a57-1bf2-4d41-8a5f-bc759df6c8f4.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:3TrdH6GpRv2cX6a-dV701g"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:3TrdH6GpRv2cX6a-dV701g."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2224"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-27 08:05:16"") OR ([ds6w:modified]>""2021-06-30 13:01:27"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:2224' with type 'wym:Post', 'wym:Idea', or 'wym:Question' or type 'wym:WikitreePage' with visibility 1, modified before March 27, 2017 08:05:16 or after June 30, 2021 13:01:27."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2200"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-24 08:33:24"") OR ([ds6w:modified]>""2024-05-21 01:24:34"")))","""Retrieve documents from community 2200 with container ID swym:215dsi0708:DSEXT001, where the type is either a Post, Idea, or Question, or a WikitreePage with visibility 1, and the modified date is before March 24, 2017 08:33:24 or after May 21, 2024 01:24:34."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8NQwRX1iSwqejsdfGpCAWA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-07-15 12:14:20"") OR ([ds6w:modified]>""2024-05-20 14:15:02"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:8NQwRX1iSwqejsdfGpCAWA' that are either posts, ideas, or questions or wiki pages with visibility 1, and created before July 15, 2021 12:14:20 or after May 20, 2024 14:15:02."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wc22IgpCQZmVaXs1coAt0Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-06-10 14:25:31"") OR ([ds6w:modified]>""2024-05-15 16:02:57"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:wc22IgpCQZmVaXs1coAt0Q' that are either a post, idea, or question or a Wikitree page with visibility 1, created before 2022-06-10 14:25:31 or after 2024-05-15 16:02:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:kXW9k3sxS7mbYheIHUUwaQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-12-01 09:11:02"") OR ([ds6w:modified]>""2024-04-08 08:42:44"")))","""Retrieve posts, ideas, or questions in the 'wym:215dsi0708:DSEXT001:community:kXW9k3sxS7mbYheIHUUwaQ' container, with visibility set to 1, that are of type 'WikitreePage' or are of type 'Post', 'Idea', or 'Question', and were modified before 2023-12-01 09:11:02 or after 2024-04-08 08:42:44."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1UZpR8X5RQqlSDFMlDAWHg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-08-02 12:23:28"") OR ([ds6w:modified]>""2023-11-10 05:44:30"")))","""Retrieve all documents in container 'wym:215dsi0708:DSEXT001:community:1UZpR8X5RQqlSDFMlDAWHg' of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility '1' that were modified before '2018-08-02 12:23:28' or after '2023-11-10 05:44:30'""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JQe5Ix0BSPCRy9H0KQS9Tg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-10 12:24:52"") OR ([ds6w:modified]>""2024-04-10 08:04:42"")))","""Retrieve all Post, Idea, and Question documents in the 'wym:215dsi0708:DSEXT001:community:JQe5Ix0BSPCRy9H0KQS9Tg' container, with type 'WikitreePage' having visibility 1, created before November 10, 2022 12:24:52 PM or after April 10, 2024 08:04:42 AM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:sksx92IDS2CaSBnRRekHQQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-25 18:05:51"") OR ([ds6w:modified]>""2022-09-07 12:53:54"")))","""Retrieve Post, Idea, or Question documents with container ID 'wym:215dsi0708:DSEXT001:community:sksx92IDS2CaSBnRRekHQQ' that are either publicly visible wiki pages or of type Post, Idea, or Question, and were modified before May 25, 2021 18:05:51 or after September 7, 2022 12:53:54."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-17 08:27:42"") OR ([ds6w:modified]>""2024-05-17 01:24:57"")))","""Retrieve swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ containers of type swym:Post, swym:Idea, swym:Question or swym:WikitreePage with visibility set to 1, modified before 2018-04-17 08:27:42 or after 2024-05-17 01:24:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Abk_2z3cRnKmcZkwXaoiyw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-09-07 14:13:19"") OR ([ds6w:modified]>""2024-05-17 15:15:24"")))","""Retrieve documents from swym:215dsi0708:DSEXT001:community:Abk_2z3cRnKmcZkwXaoiyw that are of type swym:Post, swym:Idea, or swym:Question, or are swym:WikitreePages with visibility 1, and were modified before 2022-09-07 14:13:19 or after 2024-05-17 15:15:24"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:CVDcUHY3QVG3-ntAbgWpDA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-27 16:07:55"") OR ([ds6w:modified]>""2020-04-01 12:21:24"")))","""Find all documents with container ID 'wym:215dsi0708:DSEXT001:community:CVDcUHY3QVG3-ntAbgWpDA and type 'Post' or 'Idea' or 'Question' or Wikitree page with visibility 1, created before March 27, 2020 16:07:55 or after April 1, 2020 12:21:24""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:77"")","""Retrieve documents with resourceUid swym:215dsi0708:DSEXT001:community:77."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IoUejgf1T1a0UkwxZRnqGg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-11-16 16:25:43"") OR ([ds6w:modified]>""2024-05-15 10:23:07"")))","""Retrieve documents stored in 'wym:215dsi0708:DSEXT001:community:IoUejgf1T1a0UkwxZRnqGg' container, which are either type 'Post', 'Idea', or 'Question', or are wiki pages with visibility level 1, and were modified before November 16, 2020, 16:25:43 or after May 15, 2024, 10:23:07."""
Cloud Admin Training,"""Retrieve documents matching the term 'Cloud Admin Training'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:OJNz_66aTy6OIGflw9xFOw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-28 16:49:55"") OR ([ds6w:modified]>""2022-07-01 09:44:14"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:OJNz_66aTy6OIGflw9xFOw', whose type is either 'wym:Post', 'wym:Idea', or 'wym:Question', or a WikitreePage with visibility set to 1, and modified before June 28, 2021 16:49:55 or after July 1, 2022 09:44:14."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:RFwgKqSzQIGZDBHeZbKBlA"")","""Retrieve resources with resourceUid matching swym:215dsi0708:DSEXT001:community:RFwgKqSzQIGZDBHeZbKBlA."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JcIjR9nPTSyT9bGatRI0zg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-24 13:57:51"") OR ([ds6w:modified]>""2024-05-14 10:05:37"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:JcIjR9nPTSyT9bGatRI0zg, with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and modified date before 2024-03-24 13:57:51 or after 2024-05-14 10:05:37."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:nv0bTOh2QgamdvZoFe9NRg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-12 19:21:36"") OR ([ds6w:modified]>""2024-05-20 21:00:02"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:nv0bTOh2QgamdvZoFe9NRg' that are either of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility 1, and whose modification date is before October 12, 2022, 19:21:36 or after May 20, 2024, 21:00:02."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Lk3oroTSTDed9t149BysbQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-10-19 16:07:02"") OR ([ds6w:modified]>""2024-05-20 10:21:26"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:Lk3oroTSTDed9t149BysbQ' that are either type 'Post', 'Idea', or 'Question' or are a 'WikitreePage' with visibility set to 1, and were modified before October 19, 2021 16:07:02 or after May 20, 2024 10:21:26."""
"[ds6w:modified] >= ""2024-05-21T02:11:41Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","""Retrieve documents modified on or after 2024-05-21T02:11:41Z that are either Drive Files or Drive Folders."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QRFGsAqwS9Gmgj84dQ6H5A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-02-22 09:32:45"") OR ([ds6w:modified]>""2024-05-20 07:59:22"")))","""Retrieve posts, ideas, questions, or Wikitree pages from 'wym:215dsi0708:DSEXT001:community:QRFGsAqwS9Gmgj84dQ6H5A' that are either publicly visible or modified after February 22, 2023, or before May 20, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:tEEpeyBRRkeWhBB86yImGw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-16 09:06:00"") OR ([ds6w:modified]>""2021-07-05 08:01:43"")))","""Retrieve posts, ideas, questions, or Wikitree pages in the community with container ID 'wym:215dsi0708:DSEXT001:community:tEEpeyBRRkeWhBB86yImGw' that were modified before June 16, 2021 09:06:00 or after July 5, 2021 08:01:43."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:sdMJjP2VRSakyAJ1PUPkqA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-12-03 16:34:35"") OR ([ds6w:modified]>""2024-05-08 18:50:33"")))","""Retrieve posts, ideas, or questions from the 'wym:215dsi0708:DSEXT001:community:sdMJjP2VRSakyAJ1PUPkqA' container, with a type of 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' and visibility set to 1, created before '2021-12-03 16:34:35' or after '2024-05-08 18:50:33'."""
"[ds6w:resourceUid]:(""<uuid:b3013032-c0af-4872-abac-a780371d29b7>"" OR ""<uuid:a5dec1b9-8745-4065-8212-c8b98248a384>"" OR ""<uuid:7a3b7380-50fc-4463-b962-ab1ddf7f0e45>"" OR ""<uuid:622acfac-7dd1-4dfc-8e5f-a53778fa8dfd>"" OR ""<uuid:300d134d-e353-4340-8689-781c8d73bc43>"")","Retrieve documents with resourceUid matching ""<uuid:b3013032-c0af-4872-abac-a780371d29b7>"", ""<uuid:a5dec1b9-8745-4065-8212-c8b98248a384>"", ""<uuid:7a3b7380-50fc-4463-b962-ab1ddf7f0e45>"", ""<uuid:622acfac-7dd1-4dfc-8e5f-a53778fa8dfd>"", or ""<uuid:300d134d-e353-4340-8689-781c8d73bc43>""."
[ds6w:label]:CADDUAV5*,Search for documents with label CADDUAV5.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:sYJbBY9yQA-ooQxHHrHBDw"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:sYJbBY9yQA-ooQxHHrHBDw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:970"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2013-02-18 17:05:32"") OR ([ds6w:modified]>""2022-09-08 03:08:24"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:970 that are of type Post, Idea, or Question, or are WikitreePages with visibility 1, and were modified before 2013-02-18 17:05:32 or after 2022-09-08 03:08:24"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:uXUlN-bgRQGsYs999L-Bdw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-08-29 05:24:01"") OR ([ds6w:modified]>""2024-05-17 10:06:25"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:uXUlN-bgRQGsYs999L-Bdw' that are either of type 'Post', 'Idea', or 'Question', or a Wikitree page with visibility level 1, created before '2019-08-29 05:24:01' or after '2024-05-17 10:06:25'."""
[ds6w:resourceUid]:(f370f197-5c5f-4195-a883-c5eefed7149c OR 98a060a7-5dd3-4186-a3a4-134950edaf30 OR aa78dbb0-a16e-4b90-9a80-fe04e998590f),"Retrieve documents with resource UIDs f370f197-5c5f-4195-a883-c5eefed7149c, 98a060a7-5dd3-4186-a3a4-134950edaf30, or aa78dbb0-a16e-4b90-9a80-fe04e998590f."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7QrNyi7lR5C7yMXbx9XorA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-15 08:52:41"") OR ([ds6w:modified]>""2024-05-20 12:08:37"")))","""Retrieve swym:Post, swym:Idea, or swym:Question documents from the container swym:215dsi0708:DSEXT001:community:7QrNyi7lR5C7yMXbx9XorA that were posted before 2019-11-15 08:52:41 or after 2024-05-20 12:08:37, excluding those that are not publicly visible wiki pages."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7VvpRqJxQaeK9ndNGT0ftQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-12-01 16:20:32"") OR ([ds6w:modified]>""2021-11-30 17:48:01"")))","""Retrieve documents from community 7VvpRqJxQaeK9ndNGT0ftQ that are of type Post, Idea, or Question, or are Wikitree pages with visibility 1, and were modified between December 1, 2020, 4:20 PM and November 30, 2021, 5:48 PM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:YbfM8UlyReGPhc4kbZ12yQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-08 14:16:31"") OR ([ds6w:modified]>""2021-09-24 09:38:40"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage documents in the container 'wym:215dsi0708:DSEXT001:community:YbfM8UlyReGPhc4kbZ12yQ' with visibility 1, created before 2021-06-08 14:16:31 or after 2021-09-24 09:38:40."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2121"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-02-07 14:23:05"") OR ([ds6w:modified]>""2021-10-04 17:32:34"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:2121, which are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and were modified before 2017-02-07 14:23:05 or after 2021-10-04 17:32:34."""
"(((flattenedtaxonomies:types/Document) OR (flattenedtaxonomies:""types/CONTROLLED DOCUMENTS"")) NOT ((policy:""Controlled Document Template"") OR (policy:""Rendition Document Template"") OR (policy:Version) OR (policy:ProxyItem)) AND ([ds6w:modified]>=""2024-05-20T07:31:30.223Z""))","""Retrieve documents of type Document or CONTROLLED DOCUMENTS, excluding those with policy Control Document Template, Rendition Document Template, Version, or ProxyItem, and modified since May 20, 2024 07:31:30."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:xT5gffTOTACC3qbOJXsYiw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-08-13 06:58:28"") OR ([ds6w:modified]>""2024-05-16 05:46:39"")))","""Retrieve posts, ideas, or questions from the swym:215dsi0708:DSEXT001:community:xT5gffTOTACC3qbOJXsYiw container that are either visible in a wiki or were modified between August 13, 2021 06:58:28 and May 16, 2024 05:46:39."""
"[ds6w:modified] >= ""2024-05-21T07:43:10Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","""Retrieve files and folders modified after May 21st, 2024, 7:43 AM."""
